,sample.id,stream,block,species,mesh.type,year,date.deploy,date.collected,intitial.dry.mass.g,days.incubated,final.dry.mass.g,Tin.ID,tin.mass.g,tin.drymass.g,tin.ash.mass.g,month.collected,year.collected,leaf.dm.g,fung.biom.mg,fungal.biom.mg.g.afdm,init.dry_hl,init.afdm.g,tin.afdm.g,prop.afdm,final.drymass.gb,final.afdm.g,final.afdm.fbsub.g,final.afdm.gfb,mass.loss.g,pct.mass.remain,ln.pct.mass.remain,interval,mean.temp
166,W167,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,10.05,149,8.29,,3.6206,11.662,4.0919,4,2018,NA,NA,NA,9.2725,8.757586943,7.5701,0.941390803,8.29,7.804129754,NA,7.804129754,0.953457189,89.11278648,4.489902831,NA,NA
167,W168,WS55,4,RHODO,Coarse,pre1,11/27/2017,4/25/2018,10.08,149,7.72,,3.6406,11.1449,4.1104,4,2018,NA,NA,NA,9.3025,8.785921007,7.0345,0.937395893,7.72,7.236696294,NA,7.236696294,1.549224713,82.36696288,4.411184421,NA,NA
168,WF001,TOWR,4,ACER,Fine,pre1,11/27/2017,12/18/2017,1.55,21,1.03,,3.6271,4.6592,3.7083,12,2017,NA,NA,NA,1.55,1.484119111,0.9509,0.921325453,1.03,0.948965217,NA,0.948965217,0.535153894,63.94131103,4.157965647,NA,NA
169,WF002,TOWR,4,ACER,Fine,pre1,11/27/2017,12/18/2017,1.59,21,1.05,,3.6246,4.6725,3.7156,12,2017,NA,NA,NA,1.59,1.522418959,0.9569,0.913159653,1.05,0.958817635,NA,0.958817635,0.563601323,62.97988013,4.142815312,NA,NA
170,WF003,TOWR,4,ACER,Fine,pre1,11/27/2017,12/18/2017,1.44,21,0.96,,3.6535,4.612,3.7347,12,2017,NA,NA,NA,1.44,1.378794529,0.8773,0.915284298,0.96,0.878672926,NA,0.878672926,0.500121602,63.72761918,4.154618051,NA,NA
171,WF004,TOWR,4,ACER,Fine,pre1,11/27/2017,2/5/2018,1.5,70,1.02,,3.5221,4.5394,3.6631,2,2018,NA,NA,NA,1.5,1.436244301,0.8763,0.861397818,1.02,0.878625774,NA,0.878625774,0.557618527,61.17523138,4.113742392,NA,NA
172,WF005,TOWR,4,ACER,Fine,pre1,11/27/2017,2/5/2018,1.53,70,0.89,,3.5312,4.4219,3.616,2,2018,NA,NA,NA,1.53,1.464969187,0.8059,0.904793982,0.89,0.805266644,NA,0.805266644,0.659702542,54.96816258,4.006754155,NA,NA
173,WF006,TOWR,4,ACER,Fine,pre1,11/27/2017,2/5/2018,1.48,70,0.89,,3.5413,4.4337,3.6394,2,2018,NA,NA,NA,1.48,1.417094377,0.7943,0.890071717,0.89,0.792163828,NA,0.792163828,0.624930549,55.90056957,4.023574569,NA,NA
174,WF007,TOWR,4,ACER,Fine,pre1,11/27/2017,4/2/2018,1.45,126,0.71,,3.5155,4.2238,3.5994,4,2018,NA,NA,NA,1.45,1.388369491,0.6244,0.881547367,0.71,0.625898631,NA,0.625898631,0.76247086,45.0815604,3.808473303,NA,NA
175,WF008,TOWR,4,ACER,Fine,pre1,11/27/2017,4/2/2018,1.58,126,0.83,,3.6719,4.5021,3.7637,4,2018,NA,NA,NA,1.58,1.512843997,0.7384,0.889424235,0.83,0.738222115,NA,0.738222115,0.774621882,48.79697555,3.887668334,NA,NA
